cenario,protocolo,arquivo,tempo_dns,tempo_http,tempo_total,throughput_kbps,status
A,TCP,arquivo_100kb.txt,0.0242,0.0588,0.0829,1663.86,HTTP/1.1 200 OK
A,TCP,arquivo_1mb.txt,0.0242,0.2275,0.2517,4292.97,HTTP/1.1 200 OK
A,TCP,arquivo_10mb.txt,0.0242,18.7679,18.7921,520.34,HTTP/1.1 200 OK
A,TCP,arquivo_100kb.txt,0.0124,0.0495,0.0619,1976.75,HTTP/1.1 200 OK
A,TCP,arquivo_1mb.txt,0.0124,0.2479,0.2603,3939.88,HTTP/1.1 200 OK
A,TCP,arquivo_10mb.txt,0.0124,17.7065,17.7189,551.54,HTTP/1.1 200 OK
A,TCP,arquivo_100kb.txt,0.0137,0.0528,0.0665,1852.49,HTTP/1.1 200 OK
A,TCP,arquivo_1mb.txt,0.0137,0.2522,0.2659,3873.27,HTTP/1.1 200 OK
A,TCP,arquivo_10mb.txt,0.0137,17.6270,17.6407,554.02,HTTP/1.1 200 OK
A,TCP,arquivo_100kb.txt,0.0129,0.0540,0.0670,1810.43,HTTP/1.1 200 OK
A,TCP,arquivo_1mb.txt,0.0129,0.2364,0.2493,4132.45,HTTP/1.1 200 OK
A,TCP,arquivo_10mb.txt,0.0129,18.2475,18.2604,535.18,HTTP/1.1 200 OK
A,TCP,arquivo_100kb.txt,0.0122,0.0584,0.0706,1675.45,HTTP/1.1 200 OK
A,TCP,arquivo_1mb.txt,0.0122,0.2999,0.3121,3256.75,HTTP/1.1 200 OK
A,TCP,arquivo_10mb.txt,0.0122,17.4394,17.4516,559.99,HTTP/1.1 200 OK
A,TCP,arquivo_100kb.txt,0.0330,0.0553,0.0883,1767.48,HTTP/1.1 200 OK
A,TCP,arquivo_1mb.txt,0.0330,0.2552,0.2882,3827.08,HTTP/1.1 200 OK
A,TCP,arquivo_10mb.txt,0.0330,17.0832,17.1162,571.66,HTTP/1.1 200 OK
A,TCP,arquivo_100kb.txt,0.0347,0.0611,0.0958,1601.36,HTTP/1.1 200 OK
A,TCP,arquivo_1mb.txt,0.0347,0.2574,0.2921,3794.65,HTTP/1.1 200 OK
A,TCP,arquivo_10mb.txt,0.0347,17.2565,17.2912,565.92,HTTP/1.1 200 OK
A,TCP,arquivo_100kb.txt,0.0125,0.0509,0.0634,1920.42,HTTP/1.1 200 OK
A,TCP,arquivo_1mb.txt,0.0125,0.2421,0.2546,4033.72,HTTP/1.1 200 OK
A,TCP,arquivo_10mb.txt,0.0125,16.7296,16.7421,583.74,HTTP/1.1 200 OK
A,TCP,arquivo_100kb.txt,0.0114,0.0697,0.0810,1404.32,HTTP/1.1 200 OK
A,TCP,arquivo_1mb.txt,0.0114,0.2638,0.2752,3702.57,HTTP/1.1 200 OK
A,TCP,arquivo_10mb.txt,0.0114,17.4890,17.5004,558.39,HTTP/1.1 200 OK
A,TCP,arquivo_100kb.txt,0.0122,0.0501,0.0623,1951.04,HTTP/1.1 200 OK
A,TCP,arquivo_1mb.txt,0.0122,0.2639,0.2761,3700.83,HTTP/1.1 200 OK
A,TCP,arquivo_10mb.txt,0.0122,18.5335,18.5457,526.93,HTTP/1.1 200 OK
B,TCP,arquivo_100kb.txt,0.1056,0.2587,0.3643,378.09,HTTP/1.1 200 OK
B,TCP,arquivo_1mb.txt,0.1056,0.4401,0.5457,2219.56,HTTP/1.1 200 OK
B,TCP,arquivo_10mb.txt,0.1056,7.8180,7.9236,1249.15,HTTP/1.1 200 OK
B,TCP,arquivo_100kb.txt,0.0525,0.2101,0.2625,465.66,HTTP/1.1 200 OK
B,TCP,arquivo_1mb.txt,0.0525,0.4667,0.5192,2092.71,HTTP/1.1 200 OK
B,TCP,arquivo_10mb.txt,0.0525,7.6092,7.6616,1283.43,HTTP/1.1 200 OK
B,TCP,arquivo_100kb.txt,0.0530,0.2127,0.2657,459.89,HTTP/1.1 200 OK
B,TCP,arquivo_1mb.txt,0.0530,0.4696,0.5226,2080.08,HTTP/1.1 200 OK
B,TCP,arquivo_10mb.txt,0.0530,6.9205,6.9735,1411.14,HTTP/1.1 200 OK
B,TCP,arquivo_100kb.txt,3.0594,0.2154,3.2748,454.04,HTTP/1.1 200 OK
B,TCP,arquivo_1mb.txt,3.0594,0.4497,3.5090,2172.07,HTTP/1.1 200 OK
B,TCP,arquivo_10mb.txt,3.0594,8.5650,11.6243,1140.20,HTTP/1.1 200 OK
B,TCP,arquivo_100kb.txt,0.0528,0.2106,0.2634,464.41,HTTP/1.1 200 OK
B,TCP,arquivo_1mb.txt,0.0528,0.4912,0.5440,1988.33,HTTP/1.1 200 OK
B,TCP,arquivo_10mb.txt,0.0528,8.1974,8.2502,1191.32,HTTP/1.1 200 OK
